DataRotation: 41 0 8
RootCenter: 400.9 120.3 -306
DataDimension: 689 393 200
Id X Y Z T Precursors Lineage CellFile Layer DivType
55 366.368 171.127 140 155 "{9910,9,26}" 9910 1 2 -
55 358.293 185.257 135 216 "{9910,9,26}" 9910 1 2 1
56 402.029 191.986 135 216 "{9910,9,26,54}" 9910 1 4 -
56 416.832 201.742 133 278 "{9910,9,26,54}" 9910 1 4 0
57 397.992 171.8 137 216 "{9910,9,26,54}" 9910 1 5 -
57 416.159 190.976 137 300 "{9910,9,26,54}" 9910 1 5 -
58 359.639 196.696 136 217 "{9910,9,26,55}" 9910 1 4 -
58 367.713 211.835 134 282 "{9910,9,26,55}" 9910 1 4 0
59 357.621 179.201 136 217 "{9910,9,26,55}" 9910 1 5 -
59 363.676 197.705 135 300 "{9910,9,26,55}" 9910 1 5 -
61 392.609 149.932 146 165 "{9910,9,25}" 9910 1 3 -
61 403.375 155.315 147 225 "{9910,9,25}" 9910 1 3 1
62 369.732 149.932 146 165 "{9910,9,25}" 9910 1 3 -
62 351.565 158.679 142 224 "{9910,9,25}" 9910 1 3 1
63 404.047 145.895 150 226 "{9910,9,25,61}" 9910 1 7 -
63 410.776 151.951 148 300 "{9910,9,25,61}" 9910 1 7 -
64 402.702 158.007 141 226 "{9910,9,25,61}" 9910 1 6 -
64 407.412 160.698 140 278 "{9910,9,25,61}" 9910 1 6 1
65 300.428 185.594 137 207 "{8,23,36}" 8 1 2 -
65 321.287 197.032 134 277 "{8,23,36}" 8 1 2 1
66 282.934 188.958 137 207 "{8,23,36}" 8 1 2 -
66 278.897 205.106 138 300 "{8,23,36}" 8 1 2 -
67 320.614 174.828 147 114 "{11,27}" 11 2 1 -
67 346.855 174.155 152 182 "{11,27}" 11 2 1 1
68 293.7 177.519 147 114 "{11,27}" 11 2 1 -
68 264.767 182.902 150 180 "{11,27}" 11 2 1 1
69 268.804 188.958 148 181 "{11,27,68}" 11 2 2 -
69 278.897 195.013 150 269 "{11,27,68}" 11 2 2 0
70 264.767 173.482 151 181 "{11,27,68}" 11 2 3 -
70 218.34 193.668 156 294 "{11,27,68}" 11 2 3 0
71 424.906 168.772 150 142 "{11,28}" 11 2 2 -
71 420.196 176.846 152 214 "{11,28}" 11 2 2 0
72 424.233 152.624 150 142 "{11,28}" 11 2 3 -
72 434.326 157.334 160 231 "{11,28}" 11 2 3 0
73 432.307 175.501 152 215 "{11,28,71}" 11 2 2 -
73 458.548 186.939 151 300 "{11,28,71,73}" 11 2 2 1
74 410.776 177.519 152 215 "{11,28,71}" 11 2 2 -
74 409.43 192.995 153 287 "{11,28,71}" 11 2 2 1
75 410.103 129.074 121 125 "{2233,3,15}" 2233 -1 2 -
75 411.449 127.055 120 187 "{2233,3,15}" 2233 -1 2 1
76 406.066 133.784 113 188 "{2233,3,15,75}" 2233 -1 4 -
76 420.869 125.037 107 253 "{2233,3,15,75}" 2233 -1 4 2
77 414.813 127.055 122 188 "{2233,3,15,75}" 2233 -1 5 -
77 425.579 125.037 119 266 "{2233,3,15,75}" 2233 -1 5 2
78 401.356 121 132 207 "{2233,3,15,33}" 2233 -1 3 -
78 406.066 124.364 125 277 "{2233,3,15,33}" 2233 -1 3 1
79 416.159 120.327 132 207 "{2233,3,15,33}" 2233 -1 3 -
79 428.27 120.327 131 277 "{2233,3,15,33}" 2233 -1 3 1
80 400.683 98.1228 131 202 "{7,21,35}" 7 -2 3 -
80 423.56 97.45 131 281 "{7,21,35}" 7 -2 3 1
81 381.843 100.141 131 202 "{7,21,35}" 7 -2 3 -
81 369.732 101.487 130 273 "{7,21,35}" 7 -2 3 1
82 340.126 129.074 121 63 "{2233,2}" 2233 -1 1 -
82 337.435 127.055 123 131 "{2233,2}" 2233 -1 1 1
83 360.985 125.037 121 63 "{2233,2}" 2233 -1 1 -
83 371.75 127.055 123 123 "{2233,2}" 2233 -1 1 1
84 371.75 127.055 131 124 "{2233,2,83}" 2233 -1 3 -
84 370.405 122.345 131 194 "{2233,2,83}" 2233 -1 3 0
85 377.806 122.345 131 195 "{2233,2,83,84}" 2233 -1 3 -
85 379.825 128.401 131 258 "{2233,2,83,84}" 2233 -1 3 1
86 361.658 123.018 131 195 "{2233,2,83,84}" 2233 -1 3 -
86 365.695 131.093 124 273 "{2233,2,83,84}" 2233 -1 3 1
87 372.423 123.691 120 124 "{2233,2,83}" 2233 -1 2 -
87 375.115 127.728 113 183 "{2233,2,83}" 2233 -1 2 1
88 373.769 126.383 110 184 "{2233,2,83,87}" 2233 -1 4 -
88 380.498 124.364 104 240 "{2233,2,83,87}" 2233 -1 4 2
89 373.096 129.074 118 184 "{2233,2,83,87}" 2233 -1 5 -
89 381.17 127.728 109 275 "{2233,2,83,87}" 2233 -1 5 2
90 335.417 125.71 131 132 "{2233,2,82}" 2233 -1 3 -
90 330.034 131.093 130 217 "{2233,2,82}" 2233 -1 3 0
91 338.108 124.364 118 132 "{2233,2,82}" 2233 -1 2 -
91 336.089 129.747 114 189 "{2233,2,82}" 2233 -1 2 1
92 336.089 131.093 130 218 "{2233,2,82,90}" 2233 -1 3 -
92 343.491 132.438 128 289 "{2233,2,82,90}" 2233 -1 3 1
93 323.305 132.438 130 218 "{2233,2,82,90}" 2233 -1 3 -
93 323.978 138.494 127 300 "{2233,2,82,90}" 2233 -1 3 -
95 367.713 98.1228 118 189 "{7,21,34}" 7 -2 2 -
95 363.676 94.7585 116 252 "{7,21,34}" 7 -2 2 1
96 387.226 99.4685 118 189 "{7,21,34}" 7 -2 2 -
96 412.122 98.1228 113 256 "{7,21,34}" 7 -2 2 1
97 297.064 168.099 146 233 "{8,23,37}" 8 1 3 -
97 307.83 170.791 144 300 "{8,23,37}" 8 1 3 -
98 279.57 167.427 146 233 "{8,23,37}" 8 1 3 -
98 274.187 171.464 145 300 "{8,23,37}" 8 1 3 -
99 294.373 112.253 123 116 "{7,22}" 7 -2 2 -
99 298.41 110.234 121 176 "{7,22}" 7 -2 2 0
100 306.484 108.216 121 177 "{7,22,99}" 7 -2 2 -
100 316.577 102.16 114 255 "{7,22,99}" 7 -2 2 1
101 291.681 111.58 121 177 "{7,22,99}" 7 -2 2 -
101 273.514 114.944 119 260 "{7,22,99}" 7 -2 2 1
102 312.54 113.598 128 116 "{7,22}" 7 -2 3 -
102 304.465 115.617 129 188 "{7,22}" 7 -2 3 0
103 309.175 114.944 129 189 "{7,22,102}" 7 -2 3 -
103 323.978 108.216 125 273 "{7,22,102}" 7 -2 3 1
104 285.625 115.617 129 189 "{7,22,102}" 7 -2 3 -
104 225.742 125.71 126 267 "{7,22,102}" 7 -2 3 0
107 389.446 134.49 139 185 "{5566,6,18,42}" 5566 0 7 -
107 394.627 140.512 139 279 "{5566,6,18,42}" 5566 0 7 1
108 388.908 147.947 132 185 "{5566,6,18,42}" 5566 0 6 -
108 392.609 151.278 130 250 "{5566,6,18,42}" 5566 0 6 0
109 395.368 148.486 129 164 "{5566,6,18,43}" 5566 0 5 -
109 404.72 160.025 123 239 "{5566,6,18,43}" 5566 0 5 2
110 390.523 164.634 122 164 "{5566,6,18,43}" 5566 0 4 -
110 399.337 172.809 113 219 "{5566,6,18,43}" 5566 0 4 2
111 361.994 155.483 115 182 "{5566,5,40,44}" 5566 0 2 -
111 365.022 167.427 107 247 "{5566,5,40,44}" 5566 0 2 1
112 363.609 171.632 122 182 "{5566,5,40,44}" 5566 0 2 -
112 367.041 188.285 117 245 "{5566,5,40,44}" 5566 0 2 1
113 338.848 133.952 121 190 "{2233,2,82,91}" 2233 -1 5 -
113 340.126 134.457 113 277 "{2233,2,82,91}" 2233 -1 5 0
114 339.386 126.416 113 190 "{2233,2,82,91}" 2233 -1 4 -
114 344.164 126.383 102 257 "{2233,2,82,91}" 2233 -1 4 2
115 359.303 154.407 130 203 "{5566,5,40,45}" 5566 0 6 -
115 365.695 162.044 124 276 "{5566,5,40,45}" 5566 0 6 1
116 354.996 142.565 138 203 "{5566,5,40,45}" 5566 0 7 -
116 362.331 150.605 135 299 "{5566,5,40,45}" 5566 0 7 0
118 323.978 156.661 127 239 "{5566,5,41,46}" 5566 0 6 -
