DataRotation: 92 0 16
RootCenter: 315.6 117.3 -130.8
DataDimension: 682 406 130
Id X Y Z T Precursors Lineage CellFile Layer DivType
53 336.005 159.408 81 265 "{6,9,39,40,51}" 6 0 5 -
53 338.669 170.73 85 341 "{6,9,39,40,51}" 6 0 5 0
54 343.331 164.736 85 342 "{6,9,39,40,51,53}" 6 0 5 -
54 343.331 163.404 83 350 "{6,9,39,40,51,53}" 6 0 5 -
55 330.677 177.39 85 342 "{6,9,39,40,51,53}" 6 0 5 -
55 331.343 182.718 84 350 "{6,9,39,40,51,53}" 6 0 5 -
56 322.019 142.091 76 342 "{6,9,39,40,51,52}" 6 0 6 -
56 323.351 141.425 76 350 "{6,9,39,40,51,52}" 6 0 6 -
57 324.017 156.078 76 342 "{6,9,39,40,51,52}" 6 0 6 -
57 330.011 161.406 76 350 "{6,9,39,40,51,52}" 6 0 6 -
58 347.327 172.062 74 287 "{6,9,39,40,50}" 6 0 2 -
58 345.995 176.058 75 350 "{6,9,39,40,50}" 6 0 2 -
59 335.339 178.056 74 287 "{6,9,39,40,50}" 6 0 2 -
59 332.675 192.708 77 350 "{6,9,39,40,50}" 6 0 2 -
60 388.62 146.087 71 133 "{6,9,38}" 6 0 1 -
60 400.608 146.087 74 186 "{6,9,38}" 6 0 1 0
61 378.63 132.101 70 133 "{6,9,38}" 6 0 2 -
61 377.964 126.773 72 191 "{6,9,38}" 6 0 2 0
62 386.622 120.113 71 192 "{6,9,38,61}" 6 0 2 -
62 405.937 127.439 72 277 "{6,9,38,61}" 6 0 2 0
63 367.308 130.103 71 192 "{6,9,38,61}" 6 0 2 -
63 361.979 142.091 76 264 "{6,9,38,61}" 6 0 2 1
64 360.647 136.763 76 265 "{6,9,38,61,63}" 6 0 6 -
64 353.321 138.095 75 343 "{6,9,38,61,63}" 6 0 6 0
65 365.31 148.085 76 265 "{6,9,38,61,63}" 6 0 5 -
65 367.974 154.746 76 339 "{6,9,38,61,63}" 6 0 5 2
66 367.974 158.742 74 340 "{6,9,38,61,63,65}" 6 0 5 -
66 368.64 159.408 72 350 "{6,9,38,61,63,65}" 6 0 5 -
67 369.972 150.083 78 340 "{6,9,38,61,63,65}" 6 0 5 -
67 367.974 150.083 78 350 "{6,9,38,61,63,65}" 6 0 5 -
68 356.651 132.101 75 344 "{6,9,38,61,63,64}" 6 0 6 -
68 361.313 130.103 74 350 "{6,9,38,61,63,64}" 6 0 6 -
69 347.327 143.423 75 344 "{6,9,38,61,63,64}" 6 0 6 -
69 343.997 142.091 76 350 "{6,9,38,61,63,64}" 6 0 6 -
70 414.595 124.775 72 278 "{6,9,38,61,62}" 6 0 2 -
70 431.245 116.117 72 350 "{6,9,38,61,62}" 6 0 2 -
71 397.944 131.435 73 278 "{6,9,38,61,62}" 6 0 2 -
71 387.954 129.437 73 350 "{6,9,38,61,62}" 6 0 2 -
72 405.937 140.759 74 187 "{6,9,38,60}" 6 0 1 -
72 423.253 155.412 75 271 "{6,9,38,60}" 6 0 1 1
73 391.284 152.748 74 187 "{6,9,38,60}" 6 0 1 -
73 393.282 165.402 79 258 "{6,9,38,60}" 6 0 1 1
74 389.952 160.074 79 259 "{6,9,38,60,73}" 6 0 4 -
74 391.95 162.072 75 350 "{6,9,38,60,73}" 6 0 4 -
75 396.612 174.726 79 259 "{6,9,38,60,73}" 6 0 3 -
75 397.944 182.052 79 341 "{6,9,38,60,73}" 6 0 3 2
76 398.61 185.382 75 342 "{6,9,38,60,73,75}" 6 0 3 -
76 401.274 191.376 73 350 "{6,9,38,60,73,75}" 6 0 3 -
77 397.944 178.722 82 342 "{6,9,38,60,73,75}" 6 0 3 -
77 399.942 177.39 84 350 "{6,9,38,60,73,75}" 6 0 3 -
78 421.921 149.417 75 272 "{6,9,38,60,72}" 6 0 4 -
78 421.921 143.423 74 350 "{6,9,38,60,72}" 6 0 4 -
79 424.585 165.402 75 272 "{6,9,38,60,72}" 6 0 3 -
79 423.919 166.068 76 350 "{6,9,38,60,72}" 6 0 3 -
80 302.704 156.078 70 129 "{6,10,11}" 6 0 2 -
80 298.708 154.746 69 199 "{6,10,11}" 6 0 2 0
81 308.032 178.722 70 129 "{6,10,11}" 6 0 1 -
81 306.034 178.056 75 178 "{6,10,11}" 6 0 1 2
82 307.366 177.39 79 179 "{6,10,11,81}" 6 0 1 -
82 308.032 189.378 86 239 "{6,10,11,81}" 6 0 1 1
83 305.368 181.386 71 179 "{6,10,11,81}" 6 0 1 -
83 312.028 200.701 76 238 "{6,10,11,81}" 6 0 1 1
84 315.358 192.042 75 239 "{6,10,11,81,83}" 6 0 4 -
84 310.03 216.685 79 329 "{6,10,11,81,83}" 6 0 4 0
85 315.358 209.359 79 239 "{6,10,11,81,83}" 6 0 3 -
85 315.358 232.669 81 316 "{6,10,11,81,83}" 6 0 3 0
86 326.015 230.671 81 317 "{6,10,11,81,83,85}" 6 0 3 -
86 329.345 239.996 81 350 "{6,10,11,81,83,85}" 6 0 3 -
87 306.034 236.666 81 317 "{6,10,11,81,83,85}" 6 0 3 -
87 308.032 245.324 82 350 "{6,10,11,81,83,85}" 6 0 3 -
91 302.038 216.019 79 330 "{6,10,11,81,83,84}" 6 0 4 -
91 302.704 222.013 80 350 "{6,10,11,81,83,84}" 6 0 4 -
92 318.022 214.021 79 330 "{6,10,11,81,83,84}" 6 0 4 -
92 323.351 220.681 79 350 "{6,10,11,81,83,84}" 6 0 4 -
93 306.7 150.75 69 200 "{6,10,11,80}" 6 0 2 -
93 310.03 171.396 74 272 "{6,10,11,80}" 6 0 2 1
94 288.718 155.412 69 200 "{6,10,11,80}" 6 0 2 -
94 287.386 172.728 77 279 "{6,10,11,80}" 6 0 2 1
95 286.054 164.07 77 280 "{6,10,11,80,94}" 6 0 6 -
95 286.72 168.732 77 350 "{6,10,11,80,94}" 6 0 6 -
96 290.716 184.05 77 280 "{6,10,11,80,94}" 6 0 5 -
96 294.712 195.373 77 350 "{6,10,11,80,94}" 6 0 5 -
97 306.7 159.408 74 273 "{6,10,11,80,93}" 6 0 6 -
97 306.7 165.402 73 350 "{6,10,11,80,93}" 6 0 6 -
98 313.36 179.388 74 273 "{6,10,11,80,93}" 6 0 5 -
98 312.694 196.039 73 350 "{6,10,11,80,93}" 6 0 5 -
101 314.026 163.404 45 15 {4} 4 -1 0 -
101 332.009 152.748 51 70 {4} 4 -1 0 1
102 289.384 170.064 45 15 {4} 4 -1 0 -
102 248.757 180.72 51 59 {4} 4 -1 0 0
103 262.077 177.39 51 60 "{4,102}" 4 -1 0 -
103 278.062 172.728 56 114 "{4,102}" 4 -1 0 1
104 240.099 184.716 51 60 "{4,102}" 4 -1 0 -
104 207.464 189.378 53 106 "{4,102}" 4 -1 0 0
105 222.782 191.376 53 107 "{4,102,104}" 4 -1 0 -
105 228.776 188.712 58 163 "{4,102,104}" 4 -1 0 1
106 198.14 186.048 53 107 "{4,102,104}" 4 -1 0 -
106 172.165 202.033 56 180 "{4,102,104}" 4 -1 0 1
107 175.495 206.695 56 181 "{4,102,104,106}" 4 -1 1 -
107 165.505 218.017 65 350 "{4,102,104,106}" 4 -1 1 -
108 166.837 191.376 56 181 "{4,102,104,106}" 4 -1 2 -
108 124.212 205.363 65 279 "{4,102,104,106}" 4 -1 2 0
109 140.196 201.367 65 280 "{4,102,104,106,108}" 4 -1 2 -
109 170.833 193.375 64 350 "{4,102,104,106,108}" 4 -1 2 -
110 110.892 213.355 65 280 "{4,102,104,106,108}" 4 -1 2 -
110 14.9854 242.66 61 350 "{4,102,104,106,108}" 4 -1 2 -
111 226.112 181.386 58 164 "{4,102,104,105}" 4 -1 2 -
111 229.442 185.382 66 300 "{4,102,104,105}" 4 -1 2 1
112 232.772 198.703 58 164 "{4,102,104,105}" 4 -1 1 -
112 229.442 205.363 62 237 "{4,102,104,105}" 4 -1 1 0
113 240.099 205.363 62 238 "{4,102,104,105,112}" 4 -1 1 -
113 234.771 218.683 64 313 "{4,102,104,105,112}" 4 -1 1 1
114 219.452 206.695 62 238 "{4,102,104,105,112}" 4 -1 1 -
114 212.126 215.353 58 337 "{4,102,104,105,112}" 4 -1 1 1
115 212.126 222.679 57 338 "{4,102,104,105,112,114}" 4 -1 3 -
115 214.124 223.345 57 350 "{4,102,104,105,112,114}" 4 -1 3 -
