DataRotation: 35 -5 5
RootCenter: 307.2 166.1 -219.6
DataDimension: 736 376 170
Id X Y Z T Precursors Lineage CellFile Layer DivType
1 325.234 181.398 115 1 {} 1 3 0 -
1 299.359 202.961 115 77 {} 1 3 0 0
31 284.984 201.523 115 78 {1} 1 3 0 -
31 256.234 210.867 120 166 {1} 1 3 0 1
32 306.547 199.367 115 78 {1} 1 3 0 -
32 345.359 199.367 120 150 {1} 1 3 0 1
35 351.109 187.867 120 151 "{1,32}" 1 3 2 -
35 366.922 193.617 124 253 "{1,32}" 1 3 2 0
36 343.203 205.836 120 151 "{1,32}" 1 3 1 -
36 332.422 213.742 129 236 "{1,32}" 1 3 1 1
37 333.859 205.117 130 237 "{1,32,36}" 1 3 4 -
37 329.547 209.43 132 300 "{1,32,36}" 1 3 4 -
38 333.141 223.805 130 237 "{1,32,36}" 1 3 3 -
38 328.828 225.961 132 300 "{1,32,36}" 1 3 3 -
39 355.422 191.461 124 254 "{1,32,35}" 1 3 2 -
39 321.641 191.461 130 300 "{1,32,35}" 1 3 2 -
40 376.266 195.773 124 254 "{1,32,35}" 1 3 2 -
40 403.578 203.68 130 300 "{1,32,35}" 1 3 2 -
41 258.391 200.805 120 167 "{1,31}" 1 3 2 -
41 246.891 206.555 130 300 "{1,31}" 1 3 2 -
42 256.234 218.055 120 167 "{1,31}" 1 3 1 -
42 244.016 225.242 129 255 "{1,31}" 1 3 1 1
43 241.859 218.773 129 256 "{1,31,42}" 1 3 4 -
43 244.016 221.648 131 300 "{1,31,42}" 1 3 4 -
44 245.453 234.586 129 256 "{1,31,42}" 1 3 3 -
44 254.797 237.461 131 300 "{1,31,42}" 1 3 3 -
2 72.9531 211.586 102 1 {} 2 2 0 -
2 90.9219 228.117 103 128 {} 2 2 0 0
121 78.7031 228.836 103 129 {2} 2 2 0 -
121 22.6406 242.492 114 300 {2} 2 2 0 -
122 100.266 228.117 103 129 {2} 2 2 0 -
122 118.953 243.93 115 295 {2} 2 2 0 1
123 125.422 248.961 114 296 "{2,122}" 2 2 1 -
123 127.578 251.117 114 300 "{2,122}" 2 2 1 -
124 111.047 234.586 116 296 "{2,122}" 2 2 2 -
124 111.047 240.336 116 300 "{2,122}" 2 2 2 -
3 281.391 197.211 104 1 {} 3 2 0 -
3 282.828 197.93 106 22 {} 3 2 0 0
125 272.766 200.805 106 23 {3} 3 2 0 -
125 249.047 213.023 104 84 {3} 3 2 0 1
126 293.609 198.648 106 23 {3} 3 2 0 -
126 298.641 209.43 104 93 {3} 3 2 0 1
127 249.047 202.961 104 85 "{3,125}" 3 2 2 -
127 228.922 206.555 109 155 "{3,125}" 3 2 2 0
128 248.328 224.523 104 85 "{3,125}" 3 2 1 -
128 245.453 227.398 106 136 "{3,125}" 3 2 1 0
129 254.797 226.68 106 137 "{3,125,128}" 3 2 1 -
129 260.547 236.023 103 188 "{3,125,128}" 3 2 1 1
130 233.234 228.836 106 137 "{3,125,128}" 3 2 1 -
130 216.703 237.461 104 206 "{3,125,128}" 3 2 1 2
131 215.266 228.836 104 207 "{3,125,128,130}" 3 2 1 -
131 202.328 238.18 115 279 "{3,125,128,130}" 3 2 1 1
132 218.141 248.961 104 207 "{3,125,128,130}" 3 2 1 -
132 216.703 260.461 114 272 "{3,125,128,130}" 3 2 1 2
133 224.609 259.742 117 273 "{3,125,128,130,132}" 3 2 1 -
133 225.328 264.055 118 300 "{3,125,128,130,132}" 3 2 1 -
134 210.953 259.742 108 273 "{3,125,128,130,132}" 3 2 1 -
134 200.891 268.367 106 300 "{3,125,128,130,132}" 3 2 1 -
135 209.516 234.586 111 280 "{3,125,128,130,131}" 3 2 4 -
135 214.547 231.711 113 300 "{3,125,128,130,131}" 3 2 4 -
136 194.422 247.523 111 280 "{3,125,128,130,131}" 3 2 3 -
136 185.078 255.43 115 300 "{3,125,128,130,131}" 3 2 3 -
137 261.984 230.273 103 189 "{3,125,128,129}" 3 2 4 -
137 252.641 232.43 107 269 "{3,125,128,129}" 3 2 4 1
138 261.984 245.367 103 189 "{3,125,128,129}" 3 2 3 -
138 253.359 259.742 109 245 "{3,125,128,129}" 3 2 3 2
139 262.703 259.742 106 246 "{3,125,128,129,138}" 3 2 3 -
139 257.672 272.68 99 300 "{3,125,128,129,138}" 3 2 3 -
140 244.734 260.461 112 246 "{3,125,128,129,138}" 3 2 3 -
140 249.766 264.773 114 300 "{3,125,128,129,138}" 3 2 3 -
141 256.234 227.398 107 270 "{3,125,128,129,137}" 3 2 10 -
141 254.797 233.148 101 300 "{3,125,128,129,137}" 3 2 10 -
142 247.609 242.492 107 270 "{3,125,128,129,137}" 3 2 9 -
142 247.609 248.961 100 300 "{3,125,128,129,137}" 3 2 9 -
143 217.422 208.711 109 156 "{3,125,127}" 3 2 2 -
143 190.828 214.461 108 221 "{3,125,127}" 3 2 2 1
144 235.391 206.555 109 156 "{3,125,127}" 3 2 2 -
144 246.172 206.555 111 229 "{3,125,127}" 3 2 2 1
145 247.609 198.648 111 230 "{3,125,127,144}" 3 2 6 -
145 252.641 202.242 112 300 "{3,125,127,144}" 3 2 6 -
146 246.891 212.305 111 230 "{3,125,127,144}" 3 2 5 -
146 243.297 214.461 111 286 "{3,125,127,144}" 3 2 5 2
147 249.766 213.742 108 287 "{3,125,127,144,146}" 3 2 5 -
147 254.078 215.898 103 300 "{3,125,127,144,146}" 3 2 5 -
148 240.422 213.023 115 287 "{3,125,127,144,146}" 3 2 5 -
148 239.703 217.336 116 300 "{3,125,127,144,146}" 3 2 5 -
150 192.266 209.43 111 222 "{3,125,127,143}" 3 2 6 -
150 177.172 215.18 118 300 "{3,125,127,143}" 3 2 6 -
151 187.953 222.367 111 222 "{3,125,127,143}" 3 2 5 -
151 181.484 234.586 118 300 "{3,125,127,143}" 3 2 5 -
152 297.203 200.086 104 94 "{3,126}" 3 2 2 -
152 295.766 205.117 110 179 "{3,126}" 3 2 2 2
153 300.078 220.93 104 94 "{3,126}" 3 2 1 -
153 298.641 230.992 107 152 "{3,126}" 3 2 1 1
154 299.359 222.367 107 153 "{3,126,153}" 3 2 4 -
154 292.172 234.586 112 251 "{3,126,153}" 3 2 4 2
155 297.922 237.461 107 153 "{3,126,153}" 3 2 3 -
155 296.484 246.086 108 209 "{3,126,153}" 3 2 3 2
156 297.203 245.367 100 210 "{3,126,153,155}" 3 2 3 -
156 287.859 263.336 104 273 "{3,126,153,155}" 3 2 3 0
157 294.328 246.805 113 210 "{3,126,153,155}" 3 2 3 -
157 292.891 257.586 118 281 "{3,126,153,155}" 3 2 3 2
158 285.703 255.43 123 282 "{3,126,153,155,157}" 3 2 3 -
158 288.578 251.836 126 300 "{3,126,153,155,157}" 3 2 3 -
159 298.641 261.898 116 282 "{3,126,153,155,157}" 3 2 3 -
159 292.891 264.773 114 300 "{3,126,153,155,157}" 3 2 3 -
160 301.516 262.617 104 274 "{3,126,153,155,156}" 3 2 3 -
160 301.516 270.523 95 300 "{3,126,153,155,156}" 3 2 3 -
161 282.109 263.336 104 274 "{3,126,153,155,156}" 3 2 3 -
161 279.234 271.961 98 300 "{3,126,153,155,156}" 3 2 3 -
162 294.328 236.023 109 252 "{3,126,153,154}" 3 2 4 -
162 295.047 245.367 99 300 "{3,126,153,154}" 3 2 4 -
163 293.609 230.273 116 252 "{3,126,153,154}" 3 2 4 -
163 294.328 234.586 118 300 "{3,126,153,154}" 3 2 4 -
164 295.766 200.805 105 180 "{3,126,152}" 3 2 2 -
164 291.453 210.148 104 244 "{3,126,152}" 3 2 2 1
165 295.047 205.117 112 180 "{3,126,152}" 3 2 2 -
165 291.453 202.961 117 247 "{3,126,152}" 3 2 2 1
166 290.734 195.773 114 248 "{3,126,152,165}" 3 2 6 -
166 290.016 192.898 118 300 "{3,126,152,165}" 3 2 6 -
167 291.453 210.867 117 248 "{3,126,152,165}" 3 2 5 -
167 290.016 213.742 118 300 "{3,126,152,165}" 3 2 5 -
168 291.453 204.398 104 245 "{3,126,152,164}" 3 2 6 -
168 290.016 204.398 105 300 "{3,126,152,164}" 3 2 6 -
169 290.734 218.773 104 245 "{3,126,152,164}" 3 2 5 -
169 290.016 225.961 97 300 "{3,126,152,164}" 3 2 5 -
4 368.359 185.711 106 1 {} 4 2 0 -
4 369.797 187.867 107 10 {} 4 2 0 0
170 387.047 187.148 107 11 {4} 4 2 0 -
170 400.523 197.66 106 81 {4} 4 2 0 1
171 362.609 191.461 107 11 {4} 4 2 0 -
171 340.328 204.398 108 88 {4} 4 2 0 1
172 340.328 193.617 108 89 "{4,171}" 4 2 2 -
172 336.734 195.773 110 167 "{4,171}" 4 2 2 2
173 343.922 213.023 108 89 "{4,171}" 4 2 1 -
173 337.453 221.648 107 144 "{4,171}" 4 2 1 1
174 341.047 213.023 107 145 "{4,171,173}" 4 2 4 -
174 331.703 218.773 109 225 "{4,171,173}" 4 2 4 2
175 340.328 232.43 107 145 "{4,171,173}" 4 2 3 -
175 340.328 238.18 106 198 "{4,171,173}" 4 2 3 2
